"state_name","state_abv","obesity","ff_count"
"Alaska","AK","29.8",14
"Alabama","AL","35.6",236
"Arkansas","AR","34.5",151
"Arizona","AZ","28.4",208
"California","CA","24.2",676
"Colorado","CO","20.2",163
"Connecticut","CT","25.3",96
"Delaware","DE","29.7",32
"Florida","FL","26.8",471
"Georgia","GA","30.7",347
"Hawaii","HI","22.7",40
"Iowa","IA","32.1",166
"Idaho","ID","28.6",99
"Illinois","IL","30.8",363
"Indiana","IN","31.3",379
"Kansas","KS","34.2",103
"Kentucky","KY","34.6",332
"Louisiana","LA","36.2",237
"Massachusetts","MA","24.3",131
"Maryland","MD","28.9",159
"Maine","ME","30",44
"Michigan","MI","31.2",251
"Minnesota","MN","26.1",148
"Missouri","MO","32.4",334
"Mississippi","MS","35.6",82
"Montana","MT","23.6",25
"North Carolina","NC","30.1",358
"North Dakota","ND","31",50
"Nebraska","NE","31.4",92
"New Hampshire","NH","26.3",36
"New Jersey","NJ","25.6",151
"New Mexico","NM","28.8",149
"Nevada","NV","26.7",135
"New York","NY","25",269
"Ohio","OH","29.8",543
"Oklahoma","OK","33.9",208
"Oregon","OR","30.1",114
"Pennsylvania","PA","30",283
"Rhode Island","RI","26",24
"South Carolina","SC","31.7",238
"South Dakota","SD","30.4",105
"Tennessee","TN","33.8",245
"Texas","TX","32.4",634
"Utah","UT","24.5",159
"Virginia","VA","29.2",327
"Vermont","VT","25.1",43
"Washington","WA","26.4",209
"Wisconsin","WI","30.7",186
"West Virginia","WV","35.6",93
"Wyoming","WY","29",41
