,State,Count
0,CA,676
1,TX,634
2,OH,543
3,FL,471
4,IN,379
5,IL,363
6,NC,358
7,GA,347
8,MO,334
9,KY,332
10,VA,327
11,PA,283
12,NY,269
13,MI,251
14,TN,245
15,SC,238
16,LA,237
17,AL,236
18,WA,209
19,AZ,208
20,OK,208
21,WI,186
22,IA,166
23,UT,159
24,MD,159
25,CO,158
26,AR,151
27,NJ,151
28,NM,149
29,MN,148
30,NV,135
31,MA,131
32,OR,114
33,SD,105
34,KS,103
35,ID,99
36,CT,96
37,WV,93
38,NE,92
39,MS,82
40,ND,50
41,ME,44
42,VT,43
43,WY,41
44,HI,40
45,NH,36
46,DE,32
47,MT,25
48,RI,24
50,AK,14
